Latitude,Longitude,DateTime,Fgps,N,E,C,H,D,I,TotalPoints,MinDist,AvDist
63.2078578,39.3716955,2014-09-30 11:30:00,53298.990875196854,12542.784155600917,3019.3310397943833,51714.06611370313,12901.077253542016,13.534871440356804,75.99237272301932,19,203.74347583349277,712.1688036671258
62.900857499999994,38.805907399999995,2014-09-30 12:00:00,53123.616758830314,12797.021604309888,2901.8266585704746,51477.512543260214,13121.903821380658,12.776218199035714,75.69952926900322,19,214.50279995722676,705.2347240751147
62.074884999999995,36.717984,2014-10-04 04:00:00,56601.976126943504,11758.83627020886,4182.23642576709,55208.89755759021,12480.43797110472,19.578822004869735,77.26190693258357,1,1155.4745108733096,1155.4745108733096
61.7998716,35.9625679,2014-10-04 04:30:00,53402.4592785529,13421.724604463843,3290.4722747041883,51583.45430318557,13819.185907594812,13.77495772485654,75.00265202804412,16,126.92387740808368,719.0864121344625
61.5447397,35.3621675,2014-10-04 05:00:00,53363.51632173373,13459.590501956884,3275.618485567621,51534.208262828506,13852.445738690343,13.67799484227036,74.95447505200676,16,155.08913137200253,727.7610285197746
61.250843599999996,34.731489200000006,2014-10-04 05:30:00,53307.82226182119,13520.305264288621,3255.428903030567,51461.90282641792,13906.706000424307,13.538021775970197,74.87798109877396,16,193.13848738071482,739.0144431282097
60.918086100000004,34.1449188,2014-10-04 06:00:00,52924.41740730075,13619.159619689384,2947.772881936404,51057.0571438674,13934.520935793147,12.212886064616061,74.73457363527342,24,209.06946123285732,780.9993446515555
60.64611360000001,33.461727,2014-10-04 06:30:00,52864.672805839684,13685.159620718168,2915.1338331800093,50979.329455756866,13992.197794123902,12.025086978681058,74.65208753514308,25,195.4456423923361,800.1047029996705
60.4102231,32.8338359,2014-10-04 07:00:00,52755.337696056784,13895.227748774432,2880.151832301154,50810.953805823905,14190.582397048356,11.71023415958922,74.39591076253632,25,194.57530451179068,803.4270131343529
60.1364101,32.3550177,2014-10-04 07:30:00,52706.239489694795,14025.905024822496,2887.8228229319134,50723.5857242277,14320.10937185842,11.634168903353796,74.23474686012779,25,194.52918263984304,807.2068939445027
59.9201441,31.825598,2014-10-04 08:00:00,52609.95533214401,14239.248535153494,2868.553112502478,50565.03341485171,14525.315686934951,11.390012150879885,73.97275427641213,23,208.30023897473754,775.6472143799418
59.6412948,31.461405300000003,2014-10-04 08:30:00,52503.25310024513,14373.599139105652,2814.819713599722,50418.92525507293,14646.622895117098,11.08016038253632,73.80149749834624,23,217.33434064858102,778.1647001973345
59.301566799999996,31.117931199999997,2014-10-04 09:00:00,52290.87901600084,14541.542667367004,2667.540872467573,50157.390191405466,14784.18876547307,10.394924080590464,73.57680566080185,22,213.32486208680243,761.8609272780559
