timestamp,location-long,location-lat,height,individual_id,Altitude,TotalPoints,Minimum_Distance,Average_Distance,Kp,N,E,C,N_Obs,E_Obs,C_Obs,H,D,I,F
01/10/2014 10:56,13.772783,54.105017,0.126,4,0.126,38,109.6312151189853,715.7666089443748,2.2526315789473683,17892.6414069734,1146.7501679413551,46538.28954180583,17899.945396307197,1145.850713183227,46534.88304955427,17929.351702340286,3.667105509865814,68.9303106736559,49872.57809601552
01/10/2014 20:52,8.728333,53.411567,0.129,4,0.129,57,625.6195079946544,959.5384533783117,2.0,18319.222437105316,617.5436181785716,46013.36750549622,18324.99681569226,613.3910404779499,46005.333539445324,18329.628223739182,1.9307178349535385,68.2799167059493,49529.84211580279
01/10/2014 21:58,8.524367,53.492,0.124,4,0.124,57,638.9853775966537,958.4452549922679,2.0,18279.455664952555,602.6012438357646,46041.656971790144,18284.66672947924,598.4198488517549,46034.08524672197,18289.385655785118,1.888131104317775,68.33526185031067,49541.253560785386
01/10/2014 23:05,8.52455,53.492067,0.128,4,0.128,57,638.9731924610649,958.4440000977124,2.0,18279.993329528763,602.6737690493113,46041.09994917167,18284.60610378599,598.4321961127744,46034.037719762724,18289.925418096056,1.8883026815648252,68.33444386588317,49540.93515799971
28/08/2014 10:09,48.30525,68.8911,0.128,7,0.128,60,109.20018924305954,745.4438670216765,2.7433333333333345,9421.85944707716,4114.198397055787,54948.52445478922,9605.97340000473,3900.453908311927,54931.96252825758,10280.95637043624,23.589220470586287,79.4023981846108,55902.04292912185
28/08/2014 10:25,48.294833,68.890083,0.122,7,0.122,60,109.13082683616886,745.4491676383944,2.7433333333333345,9423.668078695773,4115.0025669341885,54947.36721568197,9607.348821790432,3900.161873756385,54930.489079472165,10282.935679235996,23.589294018757403,79.40018596597258,55901.269485748766
28/08/2014 13:36,46.521467,68.0845,0.132,7,0.132,60,22.491806718325012,755.1710633136403,2.7200000000000006,9876.657233206233,4053.912178067052,54479.90998023677,10050.464486566589,3842.6984426272184,54471.75077227929,10676.261613960449,22.315888090816948,78.91242823026305,55516.15218568761
28/08/2014 18:38,46.5014,68.090617,0.122,7,0.122,21,291.37877281685655,669.951399785691,2.2999999999999994,10183.547600262476,3701.7844364084967,54493.68049679029,10049.330230084397,3842.23957911688,54470.93206766872,10835.490286112938,19.976528082228683,78.75402211252648,55560.499132267614
28/08/2014 18:54,46.501433,68.09065,0.126,7,0.126,21,291.3768126167374,669.9501551565367,2.2999999999999994,10185.458913008648,3696.6155552982636,54493.25904102192,10049.301907038183,3842.2272972745914,54470.849120885534,10835.522130117237,19.94738793223032,78.7539051436433,55560.09197926312
28/08/2014 19:10,46.50145,68.09065,0.11,7,0.11,38,49.980813227912314,680.3323903191388,2.3,10146.430568447548,3722.1541030101826,54492.06089386965,10049.35791743793,3842.283517029101,54471.228037563065,10807.612337925633,20.145243946627332,78.78189654892707,55553.48040319419
29/08/2014 11:23,46.5121,68.0874,0.125,7,0.125,59,132.15254498014065,754.1105632555688,3.845762711864406,9925.131551015313,3909.446020617733,54499.49465642813,10049.848098766115,3842.5494933148766,54471.541325550555,10667.333523101424,21.49916408792694,78.92535349950812,55533.65576206127
