Latitude,Longitude,Altitude,DateTime,TotalPoints,Minimum_Distance,Average_Distance,Kp,N,E,C,H,D,I,F,geometry
54.2278387,14.7272435,0.136,2014-10-01 08:00:00,17,154.66429785291828,636.4172316216316,2.3000000000000003,17856.880931436404,1333.9747470778227,46736.97937857493,17906.638021285245,4.272270127135539,69.03634506498514,50049.904362133166,POINT (14.7272435 54.2278387)
54.238198100000005,14.2730829,0.141,2014-10-01 08:30:00,19,161.00678468993198,708.4425642432271,2.236842105263158,17838.28799440303,1253.5546071787658,46662.4777523531,17882.27943312715,4.019752807537713,69.03186355515727,49971.61942256115,POINT (14.2730829 54.23819810000001)
54.3130939,13.875037300000002,0.14800000000000002,2014-10-01 09:00:00,19,177.4701648716747,713.4029779600977,2.236842105263158,17795.936107247326,1175.6888092126521,46647.55514683732,17834.7297739365,3.779753972899765,69.07667717731262,49940.68468980543,POINT (13.8750373 54.3130939)
54.37552170000001,13.748849800000002,0.145,2014-10-01 09:30:00,19,187.13964065678974,714.955835400441,2.236842105263158,17765.37166427624,1150.6393762239286,46665.75157189904,17802.595354160756,3.7057949259539154,69.11856388248427,49946.21878695307,POINT (13.7488498 54.37552170000001)
54.3768954,13.7535394,0.14400000000000002,2014-10-01 10:00:00,19,187.1515182620046,714.8774185434929,2.236842105263158,17764.493266550497,1151.7689089265791,46666.81078854773,17801.79183781475,3.70960549915362,69.11985817421984,49946.9220454174,POINT (13.7535394 54.3768954)
54.3690988,13.7358131,0.14,2014-10-01 10:30:00,19,186.84763620952694,715.188157136703,2.236842105263158,17767.05655838555,1147.8295466706784,46661.624637068715,17804.095355200756,3.6964209997567448,69.11526851518359,49942.89764508843,POINT (13.7358131 54.3690988)
54.1707281,13.572374900000002,0.14800000000000002,2014-10-01 11:00:00,19,172.43622876980953,718.9946116402034,2.236842105263158,17860.586471491155,1107.141792397628,46554.883255187946,17894.86831619854,3.5471113799224048,68.97412880452202,49875.680115245195,POINT (13.5723749 54.1707281)
53.944194499999995,13.4760048,0.149,2014-10-01 11:30:00,19,155.37715294338452,722.448855623022,2.236842105263158,17967.53964361563,1082.8848229330395,46446.93127434985,18000.142232344664,3.4489847759765935,68.8165522742423,49812.87529533721,POINT (13.4760048 53.94419449999999)
53.718643799999995,13.349066800000001,0.11900000000000001,2014-10-01 12:00:00,19,142.66992390261308,727.048045535396,2.236842105263158,18076.44117521787,1059.190977306238,46342.95564315706,18107.446288406296,3.353417891686246,68.6580679844493,49754.89070263487,POINT (13.3490668 53.7186438)
53.504946999999994,13.1845598,0.11,2014-10-01 12:30:00,20,136.92365620900242,759.3781551468802,2.2399999999999998,18183.39487856621,1037.6488944315367,46242.760753584655,18212.97791515662,3.266083829114267,68.5027136738339,49700.15580107624,POINT (13.1845598 53.50494699999999)
