timestamp,location-long,location-lat,height,individual_id
04/10/2014 03:53,14.778733,54.025167,0.103,1
04/10/2014 04:09,14.778,54.02555,0.104,1
04/10/2014 04:25,14.777683,54.025383,0.096,1
04/10/2014 04:41,14.778167,54.025033,0.104,1
04/10/2014 05:29,14.780733,53.994583,0.099,1
04/10/2014 05:45,14.7809,53.994617,0.098,1
04/10/2014 06:01,14.780883,53.994533,0.099,1
04/10/2014 06:33,14.78095,53.9943,0.098,1
04/10/2014 06:49,14.780833,53.994033,0.103,1
04/10/2014 07:38,14.7788,53.993117,0.103,1
04/10/2014 07:53,14.718333,53.959217,0.103,1
30/08/2014 12:39,75.3123,71.4541,0.101,2
30/08/2014 14:42,75.34705,71.46345,0.102,2
30/08/2014 18:49,75.3796,71.457583,0.103,2
27/09/2014 10:54,49.5041,67.734967,0.1,2
27/09/2014 11:09,49.5038,67.7351,0.098,2
27/09/2014 11:25,49.503767,67.7351,0.099,2
27/09/2014 11:40,49.503667,67.7351,0.1,2
27/09/2014 11:56,49.50365,67.7351,0.1,2
27/09/2014 12:11,49.503617,67.735,0.092,2
